event_date,industry,industry_label,industry_ticker,n_posts,n_kol,signal_sum,signal_mean,sentiment_sum,influence_sum,ind_ret_5m,ind_ret_1h,ind_ret_1d,ind_ret_5d,ind_ret_20d,signal_iw
2026-04-18,ai_tech,AI / 大模型,QQQ,2,1,0.12811935428520455,0.06405967714260227,0.3268,0.7840841755520473,,,-0.0031748441644519,0.0231641055134543,0.0925946202519143,0.16340000000000002
2026-04-19,ai_tech,AI / 大模型,QQQ,2,1,0.34495783303412325,0.17247891651706163,0.8799,0.7840841755520473,0.0,0.0,-0.0031748441644519,0.0231641055134543,0.0925946202519143,0.43995
2026-04-20,ai_tech,AI / 大模型,QQQ,1,1,-0.06414806266230157,-0.06414806266230157,-0.2445,0.26236426446749106,-3.080436722779911e-05,0.0007432734742742,-0.0038033380557359,0.0269639342504917,,-0.24450000000000002
2026-04-21,ai_tech,AI / 大模型,QQQ,1,1,-0.09522702312079616,-0.09522702312079616,-0.2429,0.3920420877760237,0.0,0.0,0.0167305076215558,0.0205173907042757,,-0.24290000000000003
2026-04-22,ai_tech,AI / 大模型,QQQ,1,1,0.17203365968410025,0.17203365968410025,0.25,0.688134638736401,-0.0005386671277727,0.0042803925917294,-0.0056326456990668,0.0098609731451269,,0.25
2026-04-23,ai_tech,AI / 大模型,QQQ,2,2,0.2941641357648358,0.1470820678824179,0.7251,0.6544063522435147,0.0,0.0,0.0191274788915629,0.0250529731238988,,0.4495129589686085
2026-04-24,ai_tech,AI / 大模型,QQQ,5,2,0.16147622975352804,0.03229524595070561,0.12439999999999998,3.014902819413095,0.0,0.0,0.0005271669328243,0.015469692498214,,0.05355934815337175
2026-04-25,ai_tech,AI / 大模型,QQQ,2,2,0.26602451363732493,0.13301225681866247,0.49019999999999997,1.0801767265124247,,,0.0005271669328243,0.015469692498214,,0.24627869413206155
2026-04-27,ai_tech,AI / 大模型,QQQ,3,1,0.06564353896976625,0.021881179656588753,0.2502,0.7870927934024732,-0.00017600952540463332,0.0010910514221001667,-0.0100567467175557,0.0130226347325637,,0.08339999999999999
2026-04-28,ai_tech,AI / 大模型,QQQ,4,2,0.21307729953821286,0.053269324884553215,0.6262,1.4384905277955622,1.5270212352480605e-05,0.00068368587396715,0.0061136333448092,0.036590370322034,,0.14812561877953176
2026-04-29,ai_tech,AI / 大模型,QQQ,4,4,-0.08468391837186792,-0.02117097959296698,-0.23949999999999996,1.6049052554474068,-0.000167874051232875,0.0008133451026199501,0.0093262736246331,0.0516952277588222,,-0.05276568076802777
2026-04-30,ai_tech,AI / 大模型,QQQ,2,1,0.3437920655127059,0.17189603275635296,0.4996,1.376269277472802,0.00103331763163705,0.0016427633987269,0.0095995960604928,0.0407344364645347,,0.24979999999999997
2026-05-01,ai_tech,AI / 大模型,QQQ,5,3,0.2956383543061059,0.059127670861221185,0.8933,1.7375916966063651,0.0,0.0,-0.0018838826451928997,0.05500252868330839,,0.1701425915440939
2026-05-02,ai_tech,AI / 大模型,QQQ,2,2,0.22610693459085016,0.11305346729542508,0.4561,0.9504989032038921,,,-0.0018838826451929,0.0550025286833084,,0.23788237296087425
2026-05-03,ai_tech,AI / 大模型,QQQ,6,3,-0.1680138208574749,-0.028002303476245816,-0.48560000000000003,1.3462970681065107,0.0,0.0,-0.0018838826451929,0.0550025286833084,,-0.12479698934038136
2026-05-04,ai_tech,AI / 大模型,QQQ,4,2,0.10632972114983376,0.02658243028745844,0.5152,1.1791348811784967,-1.3961046142901834e-05,-0.000308208224833025,0.0129740524393653,0.0600552443991391,,0.09017604588506582
2026-05-05,ai_tech,AI / 大模型,QQQ,5,4,0.25270198005878053,0.050540396011756104,1.0059,1.046556542284386,0.00037089932067060005,0.00072798749005048,0.0207743936914068,0.0376021558275632,,0.24146041790268846
2026-05-05,crypto,加密,BTC-USD,1,1,1.4115815041013573,1.4115815041013573,0.5,2.8231630082027146,0.0,0.0,0.0061842923164892,0.0149749055452426,,0.5
2026-05-06,ai_tech,AI / 大模型,QQQ,4,2,0.08256458059513777,0.020641145148784443,0.5318,0.8215685391715286,0.000227041553659525,0.00144215730627255,-0.0011929474776779,0.0272216420796147,,0.10049627834872556
2026-05-06,crypto,加密,BTC-USD,1,1,0.164308087077398,0.164308087077398,0.0582,2.8231630082027146,-0.0011104687579888,-0.0010881598063927,-0.0174085968313082,0.0036936601218644,,0.0582
2026-05-07,ai_tech,AI / 大模型,QQQ,7,4,0.3762828611181667,0.05375469444545239,1.125,2.203301266791395,0.00013977539019794288,-0.0005143009410206999,0.0234408408929045,0.0357584474899079,,0.1707813937156841
2026-05-08,ai_tech,AI / 大模型,QQQ,9,4,0.47738457892200864,0.053042730991334296,2.6581,1.3512292635071015,4.092603052851111e-05,0.00036800794149275556,0.0028963874065546,-0.003233817268857,,0.3532965069768856
2026-05-08,crypto,加密,BTC-USD,3,1,-1.384196822921791,-0.4613989409739303,-0.4903,8.469489024608144,-0.0002866410150739667,0.0012814593181887156,0.0059561145630133,-0.0113441218187305,,-0.16343333333333332
2026-05-09,ai_tech,AI / 大模型,QQQ,9,6,0.3495739883471577,0.0388415542607953,1.2608000000000001,3.5969130040771047,,,0.0028963874065546,-0.003233817268857,,0.09718722358614601
2026-05-09,ai_tools,AI 工具 / Agent,QQQ,1,1,0.9933735818790618,0.9933735818790618,0.25,3.973494327516247,,,0.0028963874065546,-0.003233817268857,,0.25
2026-05-09,crypto,加密,BTC-USD,1,1,0.08017782943295709,0.08017782943295709,0.0284,2.8231630082027146,0.0004504544145065,-0.0002370252833738,0.0182802215081221,0.0047962046438758,,0.028399999999999998
2026-05-10,ai_tech,AI / 大模型,QQQ,3,2,0.06741515554599407,0.02247171851533136,0.2535,1.1645155031879244,0.0,0.0,0.0028963874065546006,-0.0032338172688570004,,0.057891161913638266
2026-05-10,ai_tools,AI 工具 / Agent,QQQ,4,2,3.2847972543873976,0.8211993135968494,0.9662999999999999,13.67481605289878,0.0,0.0,0.0028963874065546,-0.003233817268857,,0.24020778354024644
2026-05-11,ai_tech,AI / 大模型,QQQ,7,3,0.43034514495093606,0.06147787785013372,0.9057000000000001,3.2458016230868547,-8.3679161105747e-05,0.00025827507756912856,-0.008481806809764,,,0.13258516536869094
2026-05-11,ai_tools,AI 工具 / Agent,QQQ,4,2,2.9809154445026884,0.7452288611256721,0.7502,13.67481605289878,0.0002606223379397,0.0005246145784782001,-0.008481806809764,,,0.21798578006252564
2026-05-11,crypto,加密,BTC-USD,5,2,1.2900070022361039,0.25800140044722075,0.4915,18.605582661973564,-0.0003702799724347081,0.00178224993800492,-0.015304426194186403,-0.0450545834893858,,0.069334404929583
2026-05-12,ai_tech,AI / 大模型,QQQ,17,9,1.0648447187787506,0.06263792463404416,3.2042,7.998093724066895,-0.00023510764152335294,-0.0010338577700505294,0.0105622304188508,,,0.13313731440462478
2026-05-12,ai_tools,AI 工具 / Agent,QQQ,5,2,0.3513599040161784,0.07027198080323568,0.20609999999999992,17.648310380415026,0.00037500208074394,-0.00087216117165304,0.0105622304188508,,,0.019908982584876528
2026-05-12,crypto,加密,BTC-USD,6,2,-2.3449033744901557,-0.39081722908169264,-0.9195999999999999,21.428745670176276,7.8018650221812e-05,-0.0013721384301835999,-0.014915661104390599,,,-0.10942793435425874
