tweet_id,username,tweet_time,event_date,industry,industry_label,industry_ticker,kol_rank_in_industry,sentiment,sentiment_score_nlp,influence,signal,ind_ret_5m,ind_ret_1h,ind_ret_1d,ind_ret_5d,ind_ret_20d
2045333993026121963,RonVonng,2026-04-18 02:49:59+00:00,2026-04-18,ai_tech,AI / 大模型,QQQ,28,-0.2468,-0.2468,0.3920420877760237,-0.09675598726312264,,,-0.0031748441644519,0.0231641055134543,0.0925946202519143
2045478559146561768,RonVonng,2026-04-18 12:24:26+00:00,2026-04-18,ai_tech,AI / 大模型,QQQ,28,0.5736,0.5736,0.3920420877760237,0.22487534154832717,,,-0.0031748441644519,0.0231641055134543,0.0925946202519143
2045824218118697262,RonVonng,2026-04-19 11:17:57+00:00,2026-04-19,ai_tech,AI / 大模型,QQQ,28,0.8987,0.8987,0.3920420877760237,0.3523282242843125,0.0,0.0,-0.0031748441644519,0.0231641055134543,0.0925946202519143
2045846022371553599,RonVonng,2026-04-19 12:44:36+00:00,2026-04-19,ai_tech,AI / 大模型,QQQ,28,-0.0188,-0.0188,0.3920420877760237,-0.007370391250189246,0.0,0.0,-0.0031748441644519,0.0231641055134543,0.0925946202519143
2046276426102673835,gmhzxy,2026-04-20 17:14:52+00:00,2026-04-20,ai_tech,AI / 大模型,QQQ,34,-0.2445,-0.2445,0.26236426446749106,-0.06414806266230157,-3.080436722779911e-05,0.0007432734742742,-0.0038033380557359,0.0269639342504917,
2046409780554834357,RonVonng,2026-04-21 02:04:46+00:00,2026-04-21,ai_tech,AI / 大模型,QQQ,28,-0.2429,-0.2429,0.3920420877760237,-0.09522702312079616,0.0,0.0,0.0167305076215558,0.0205173907042757,
2046945894269170070,austinit,2026-04-22 13:35:06+00:00,2026-04-22,ai_tech,AI / 大模型,QQQ,23,0.25,0.25,0.688134638736401,0.17203365968410025,-0.0005386671277727,0.0042803925917294,-0.0056326456990668,0.0098609731451269,
2047231909668020370,RonVonng,2026-04-23 08:31:37+00:00,2026-04-23,ai_tech,AI / 大模型,QQQ,28,0.8014,0.8014,0.3920420877760237,0.31418252914370537,0.0,0.0,0.0191274788915629,0.0250529731238988,
2047410279756316902,gmhzxy,2026-04-23 20:20:24+00:00,2026-04-23,ai_tech,AI / 大模型,QQQ,34,-0.0763,-0.0763,0.26236426446749106,-0.02001839337886957,0.0,0.0,0.0191274788915629,0.0250529731238988,
2047509937010684212,austinit,2026-04-24 02:56:24+00:00,2026-04-24,ai_tech,AI / 大模型,QQQ,23,-0.1592,-0.1592,0.688134638736401,-0.10955103448683505,0.0,0.0,0.0005271669328243,0.015469692498214,
2047514231634038929,austinit,2026-04-24 03:13:28+00:00,2026-04-24,ai_tech,AI / 大模型,QQQ,23,0.25,0.25,0.688134638736401,0.17203365968410025,0.0,0.0,0.0005271669328243,0.015469692498214,
2047518444422352940,austinit,2026-04-24 03:30:12+00:00,2026-04-24,ai_tech,AI / 大模型,QQQ,23,-0.0377,-0.0377,0.688134638736401,-0.025942675880362316,0.0,0.0,0.0005271669328243,0.015469692498214,
2047523485434757438,gmhzxy,2026-04-24 03:50:14+00:00,2026-04-24,ai_tech,AI / 大模型,QQQ,34,-0.1782,-0.1782,0.26236426446749106,-0.04675331192810691,0.0,0.0,0.0005271669328243,0.015469692498214,
2047525841639522758,austinit,2026-04-24 03:59:36+00:00,2026-04-24,ai_tech,AI / 大模型,QQQ,23,0.2495,0.2495,0.688134638736401,0.17168959236473205,0.0,0.0,0.0005271669328243,0.015469692498214,
2047988878007787672,RonVonng,2026-04-25 10:39:32+00:00,2026-04-25,ai_tech,AI / 大模型,QQQ,28,0.2408,0.2408,0.3920420877760237,0.0944037347364665,,,0.0005271669328243,0.015469692498214,
2048017069061623821,austinit,2026-04-25 12:31:34+00:00,2026-04-25,ai_tech,AI / 大模型,QQQ,23,0.2494,0.2494,0.688134638736401,0.17162077890085842,,,0.0005271669328243,0.015469692498214,
2048789106168406371,laogui,2026-04-27 15:39:22+00:00,2026-04-27,ai_tech,AI / 大模型,QQQ,35,0.2494,0.2494,0.26236426446749106,0.06543364755819227,-0.0003019097797394,0.0008906200307419,-0.0100567467175557,0.0130226347325637,
2048804142555299863,laogui,2026-04-27 16:39:07+00:00,2026-04-27,ai_tech,AI / 大模型,QQQ,35,0.25,0.25,0.26236426446749106,0.06559106611687276,0.0002714494045095,0.0012366642080658,-0.0100567467175557,0.0130226347325637,
2048805555721175512,laogui,2026-04-27 16:44:44+00:00,2026-04-27,ai_tech,AI / 大模型,QQQ,35,-0.2492,-0.2492,0.26236426446749106,-0.06538117470529878,-0.000497568200984,0.0011458700274928,-0.0100567467175557,0.0130226347325637,
2049061088562720778,RonVonng,2026-04-28 09:40:07+00:00,2026-04-28,ai_tech,AI / 大模型,QQQ,28,-0.1218,-0.1218,0.3920420877760237,-0.047750726291119684,0.0,0.0,0.0061136333448092,0.036590370322034,
2049062857426514025,RonVonng,2026-04-28 09:47:09+00:00,2026-04-28,ai_tech,AI / 大模型,QQQ,28,0.2492,0.2492,0.3920420877760237,0.0976968882737851,0.0,0.0,0.0061136333448092,0.036590370322034,
2049067331616477502,RonVonng,2026-04-28 10:04:56+00:00,2026-04-28,ai_tech,AI / 大模型,QQQ,28,0.2488,0.2488,0.3920420877760237,0.09754007143867469,0.0,0.0,0.0061136333448092,0.036590370322034,
2049165162100490502,laogui,2026-04-28 16:33:40+00:00,2026-04-28,ai_tech,AI / 大模型,QQQ,35,0.25,0.25,0.26236426446749106,0.06559106611687276,6.108084940992242e-05,0.0027347434958686,0.0061136333448092,0.036590370322034,
2049329022518370789,RonVonng,2026-04-29 03:24:48+00:00,2026-04-29,ai_tech,AI / 大模型,QQQ,28,-0.9893,-0.9893,0.3920420877760237,-0.3878472374368202,0.0,0.0,0.0093262736246331,0.0516952277588222,
2049487144763146242,aiwarts,2026-04-29 13:53:07+00:00,2026-04-29,ai_tech,AI / 大模型,QQQ,36,0.2498,0.2498,0.26236426446749106,0.06553859326397926,-0.0007047993137446,0.0029981527385052,0.0093262736246331,0.0516952277588222,
2049498722766389546,austinit,2026-04-29 14:39:08+00:00,2026-04-29,ai_tech,AI / 大模型,QQQ,23,0.25,0.25,0.688134638736401,0.17203365968410025,-0.000635302132796,-0.0009906280931156,0.0093262736246331,0.0516952277588222,
2049527321426825457,laogui,2026-04-29 16:32:46+00:00,2026-04-29,ai_tech,AI / 大模型,QQQ,35,0.25,0.25,0.26236426446749106,0.06559106611687276,0.0006686052416091,0.0012458557650902,0.0093262736246331,0.0516952277588222,
2049659335962472605,austinit,2026-04-30 01:17:21+00:00,2026-04-30,ai_tech,AI / 大模型,QQQ,23,0.25,0.25,0.688134638736401,0.17203365968410025,0.0,0.0,0.0095995960604928,0.0407344364645347,
2049862199704011077,austinit,2026-04-30 14:43:27+00:00,2026-04-30,ai_tech,AI / 大模型,QQQ,23,0.2496,0.2496,0.688134638736401,0.1717584058286057,0.0020666352632741,0.0032855267974538,0.0095995960604928,0.0407344364645347,
2050038431217312088,austinit,2026-05-01 02:23:44+00:00,2026-05-01,ai_tech,AI / 大模型,QQQ,23,0.1439,0.1439,0.688134638736401,0.09902257451416811,0.0,0.0,-0.0018838826451929,0.0550025286833084,
2050114589397061921,gmhzxy,2026-05-01 07:26:22+00:00,2026-05-01,ai_tech,AI / 大模型,QQQ,34,-0.1396,-0.1396,0.26236426446749106,-0.036626051319661755,0.0,0.0,-0.0018838826451929,0.0550025286833084,
2050126408329122229,gmhzxy,2026-05-01 08:13:19+00:00,2026-05-01,ai_tech,AI / 大模型,QQQ,34,-0.1225,-0.1225,0.26236426446749106,-0.032139622397267656,0.0,0.0,-0.0018838826451929,0.0550025286833084,
