tweet_id,username,industry,industry_label,tweet_time,ind_ret_1d,event_date,transformer_score,transformer_score_train_only,influence,sig_transformer
2045731371436630270,gefei55,ai_tech,AI / 大模型,2026-04-19 05:09:01+00:00,-0.0031748441644519,2026-04-19,-0.004598063105122741,-0.004598063105122741,0.2151113796169455,-0.000989095698108729
2045986110359396669,gefei55,ai_tech,AI / 大模型,2026-04-19 22:01:15+00:00,-0.0031748441644519,2026-04-19,-0.0038045139592847435,-0.0038045139592847435,0.2151113796169455,-0.0008183942465536687
2046078965706858560,biquanliergou,ai_tech,AI / 大模型,2026-04-20 04:10:14+00:00,-0.0038033380557359,2026-04-20,-0.006335819397536494,-0.006335819397536494,0.1988508587451652,-0.001259883128054407
2046427348942360693,biquanliergou,ai_tech,AI / 大模型,2026-04-21 03:14:35+00:00,0.0167305076215558,2026-04-21,0.001955132954071177,0.001955132954071177,0.1988508587451652,0.0003887798668780252
2046781965194698901,gefei55,ai_tech,AI / 大模型,2026-04-22 02:43:42+00:00,-0.0056326456990668,2026-04-22,-0.0015016079335610439,-0.0015016079335610439,0.2151113796169455,-0.00032301295423206675
2047957531105140755,biquanliergou,ai_tech,AI / 大模型,2026-04-25 08:34:59+00:00,0.0005271669328243,2026-04-25,0.0012429307888934165,0.0012429307888934165,0.1988508587451652,0.0002471578547322615
2048720956752122293,biquanliergou,ai_tech,AI / 大模型,2026-04-27 11:08:34+00:00,-0.0100567467175557,2026-04-27,-0.00501352705848842,-0.00501352705848842,0.1988508587451652,-0.0009969441609225444
2048766710132650434,gefei55,ai_tech,AI / 大模型,2026-04-27 14:10:22+00:00,-0.0100567467175557,2026-04-27,0.004225069911274401,0.004225069911274401,0.2151113796169455,0.0009088606175922818
2048936375031067092,gefei55,ai_tech,AI / 大模型,2026-04-28 01:24:33+00:00,0.0061136333448092,2026-04-28,0.001705096647194342,0.001705096647194342,0.2151113796169455,0.0003667856921582031
2049027815195000840,jiayuan_jy,ai_tech,AI / 大模型,2026-04-28 07:27:54+00:00,0.0061136333448092,2026-04-28,0.0016731025184000539,0.0016731025184000539,0.13976194237515868,0.0002338360577643612
