event_date,pnl_net,pnl_gross,n_industries,n_posts,equity,split
2026-02-17,0.0,0.0,1,1,1.0,combined_equal_weight
2026-02-21,-0.012654967656684,-0.012154967656684,1,1,0.987345032343316,combined_equal_weight
2026-02-23,-0.011741490883328699,-0.0107414908833287,1,1,0.9757521296473571,combined_equal_weight
2026-02-25,0.0120645595597882,0.0120645595597882,1,1,0.9875241493310778,combined_equal_weight
2026-03-04,-0.0040128296914715995,-0.0030128296914716,1,1,0.9835613831035968,combined_equal_weight
2026-03-06,0.014043230922446599,0.0150432309224466,1,1,0.9973737627329214,combined_equal_weight
2026-03-15,-0.0112174066813253,-0.0112174066813253,1,1,0.9861858156230626,combined_equal_weight
2026-03-16,0.0038802767196803997,0.0048802767196804,1,1,0.9900124894847038,combined_equal_weight
2026-03-24,0.0,0.0,1,1,0.9900124894847038,combined_equal_weight
2026-03-26,0.0233679002450772,0.0238679002450772,1,2,1.013147002580363,combined_equal_weight
2026-03-27,-0.008643335458682,-0.007643335458682,1,1,1.0043900331681028,combined_equal_weight
2026-03-28,0.0,0.0,1,2,1.0043900331681028,combined_equal_weight
2026-03-29,0.0106670731548418,0.0111670731548418,1,1,1.015103935127901,combined_equal_weight
2026-03-31,0.0050425528577275995,0.0050425528577275995,2,5,1.0202226503768708,combined_equal_weight
2026-04-01,0.0011466223630531,0.0011466223630531,1,1,1.0213924604830862,combined_equal_weight
2026-04-03,-0.0070173333255428,-0.0060173333255428,1,1,1.01422500913168,combined_equal_weight
2026-04-04,0.00955909862175865,0.00955909862175865,2,2,1.0239200860186237,combined_equal_weight
2026-04-05,-0.0060173333255428,-0.0060173333255428,1,1,1.0177588175623313,combined_equal_weight
2026-04-13,-0.004068372317531,-0.004068372317531,1,1,1.0136181957630377,combined_equal_weight
2026-04-14,0.010702034395730399,0.0112020343957304,2,2,1.024465972558232,combined_equal_weight
2026-04-15,0.0139994418865865,0.0139994418865865,1,1,1.0388079244058461,combined_equal_weight
2026-04-16,0.007572288081765267,0.007572288081765267,1,3,1.0466740772710679,combined_equal_weight
2026-04-17,0.0021748441644519,0.0031748441644519,1,2,1.0489504302801038,combined_equal_weight
2026-04-18,0.0031748441644519,0.0031748441644519,1,3,1.052280684432478,combined_equal_weight
2026-04-19,0.0031748441644519005,0.0031748441644519005,1,5,1.0556215116228138,combined_equal_weight
2026-04-20,0.004961767992527533,0.004961767992527533,2,4,1.0608592606514076,combined_equal_weight
2026-04-21,-0.0098858923957919,-0.0098858923957919,1,6,1.0503717201535285,combined_equal_weight
2026-04-22,0.0014054534789630334,0.0019054534789630334,2,4,1.0518479687418225,combined_equal_weight
2026-04-23,-0.008571430974320825,-0.008571430974320825,2,3,1.0428321264822724,combined_equal_weight
2026-04-24,-0.005877167815978766,-0.005877167815978766,3,6,1.0367032270710421,combined_equal_weight
2026-04-25,-0.0005,0.0,2,4,1.0361848754575067,combined_equal_weight
2026-04-27,0.0090567467175557,0.0100567467175557,1,3,1.0455693394270873,combined_equal_weight
2026-04-28,-0.004092335837013588,-0.004092335837013588,1,8,1.0412905185492671,combined_equal_weight
2026-04-29,-0.0011425280559647804,-0.0006425280559647804,2,6,1.0401008149174145,combined_equal_weight
2026-04-30,1.3666121792986138e-05,1.3666121792986138e-05,2,7,1.040115029061828,combined_equal_weight
2026-05-01,-0.0008661139142000333,-0.0005327805808667,3,11,1.039214170962789,combined_equal_weight
2026-05-02,0.0018838826451929,0.0018838826451929,2,2,1.0411719285041041,combined_equal_weight
2026-05-03,-0.007768580762936501,-0.007268580762936501,2,7,1.0330835002894176,combined_equal_weight
2026-05-04,0.0119740524393653,0.0129740524393653,1,3,1.045453696296126,combined_equal_weight
2026-05-05,-0.0082950506874588,-0.007295050687458799,2,6,1.0367816048939584,combined_equal_weight
2026-05-06,0.010246016272398678,0.01124601627239868,2,9,1.0474044860886256,combined_equal_weight
2026-05-07,-0.012964632421411866,-0.012631299088078531,3,15,1.0338252719299488,combined_equal_weight
2026-05-08,-0.009394817388400806,-0.009394817388400806,3,21,1.024112672288653,combined_equal_weight
2026-05-09,-0.0080243321070771,-0.0080243321070771,3,17,1.0158948520911428,combined_equal_weight
2026-05-10,0.0013330823928932,0.0016664157262265332,3,13,1.0172491236314964,combined_equal_weight
2026-05-11,0.011260994601068613,0.011260994601068613,2,23,1.0287043605206525,combined_equal_weight
2026-05-12,0.005386752482735613,0.005720085816068946,3,37,1.034245736288688,combined_equal_weight
2026-05-13,0.006912374127356235,0.007579040794022902,3,66,1.0413948297575386,combined_equal_weight
2026-05-14,0.003924464208957911,0.00412446420895791,5,105,1.045481746494316,combined_equal_weight
2026-05-15,0.019132370230524536,0.019532370230524537,5,192,1.0654842903375008,combined_equal_weight
2026-05-16,-0.0030410494175279,-0.0030410494175279,1,39,1.0622440999569849,combined_equal_weight
