industry,event_date,rolling_ic,window,n_in_window
ai_tech,2026-04-03,0.3815,7,5
ai_tech,2026-04-04,0.1038,7,6
ai_tech,2026-04-05,-0.012,7,7
ai_tech,2026-04-14,0.0545,7,7
ai_tech,2026-04-15,0.3783,7,7
ai_tech,2026-04-16,0.2419,7,7
ai_tech,2026-04-17,0.5456,7,7
ai_tech,2026-04-18,0.7185,7,7
ai_tech,2026-04-19,0.7817,7,7
ai_tech,2026-04-20,0.8154,7,7
ai_tech,2026-04-21,0.4174,7,7
ai_tech,2026-04-22,0.1024,7,7
ai_tech,2026-04-23,-0.0752,7,7
ai_tech,2026-04-24,0.104,7,7
ai_tech,2026-04-25,0.0593,7,7
ai_tech,2026-04-27,0.5874,7,7
ai_tech,2026-04-28,0.4399,7,7
ai_tech,2026-04-29,0.5583,7,7
ai_tech,2026-04-30,0.6764,7,7
ai_tech,2026-05-01,0.678,7,7
ai_tech,2026-05-02,0.6648,7,7
ai_tech,2026-05-03,0.7334,7,7
ai_tech,2026-05-04,0.7544,7,7
ai_tech,2026-05-05,0.6198,7,7
ai_tech,2026-05-06,0.5915,7,7
ai_tech,2026-05-07,0.6154,7,7
ai_tech,2026-05-08,0.396,7,7
ai_tech,2026-05-09,0.5039,7,7
ai_tech,2026-05-10,0.5956,7,7
ai_tech,2026-05-11,0.4598,7,7
ai_tech,2026-05-12,0.2501,7,7
ai_tech,2026-05-13,0.2509,7,7
ai_tech,2026-05-14,0.6304,7,7
ai_tech,2026-05-15,0.6376,7,7
ai_tools,2026-03-06,-0.1501,7,5
ai_tools,2026-03-15,-0.0201,7,6
ai_tools,2026-03-16,0.0798,7,7
ai_tools,2026-04-22,0.2648,7,7
ai_tools,2026-04-24,0.4285,7,7
ai_tools,2026-04-25,0.2243,7,7
ai_tools,2026-04-29,0.3606,7,7
ai_tools,2026-04-30,-0.496,7,7
ai_tools,2026-05-01,-0.5371,7,7
ai_tools,2026-05-02,-0.7988,7,7
ai_tools,2026-05-07,-0.7467,7,7
ai_tools,2026-05-08,-0.7123,7,7
ai_tools,2026-05-09,-0.6024,7,7
ai_tools,2026-05-10,-0.6012,7,7
ai_tools,2026-05-12,-0.691,7,7
ai_tools,2026-05-13,-0.6036,7,7
ai_tools,2026-05-14,-0.6548,7,7
ai_tools,2026-05-15,0.3419,7,7
crypto,2026-04-14,-0.7535,7,5
crypto,2026-04-20,-0.7366,7,6
crypto,2026-04-23,-0.7405,7,7
crypto,2026-04-24,-0.5883,7,7
crypto,2026-05-01,-0.5991,7,7
crypto,2026-05-03,-0.6781,7,7
crypto,2026-05-05,-0.6009,7,7
crypto,2026-05-06,0.5616,7,7
crypto,2026-05-07,0.5023,7,7
crypto,2026-05-08,0.7375,7,7
crypto,2026-05-09,0.7468,7,7
crypto,2026-05-10,0.7479,7,7
crypto,2026-05-11,0.6809,7,7
crypto,2026-05-12,0.7213,7,7
crypto,2026-05-13,0.7849,7,7
crypto,2026-05-14,0.6882,7,7
crypto,2026-05-15,0.5903,7,7
crypto,2026-05-16,0.043,7,7
