event_date,industry,industry_label,n_posts,n_kol,influence_sum,sentiment_mean,sentiment_sum,bear_posts,bull_posts,ind_ret_1h,ind_ret_1d,ind_ret_5m,sentiment_dispersion,sig_disagreement_sum,bear_ratio,bull_ratio,kol_breadth_x_bear,y_up,ml_prob_up,ml_split,sig_ml_up_sum
2026-02-17,ai_tools,AI 工具 / Agent,1,1,2.6093342281630525,-0.1981,-0.1981,1,0,,0.0074672039410965,,,0.0,1.0,0.0,0.5169091105991007,1,0.6636292401801053,train,0.16362924018010527
2026-02-21,ai_tools,AI 工具 / Agent,1,1,2.6093342281630525,1.0,1.0,0,1,,-0.012154967656684,,,0.0,0.0,1.0,-2.6093342281630525,0,0.2764771451912889,train,-0.2235228548087111
2026-02-23,ai_tools,AI 工具 / Agent,1,1,2.6093342281630525,1.0,1.0,0,1,,0.0107414908833287,,,0.0,0.0,1.0,-2.6093342281630525,1,0.2764771451912889,train,-0.2235228548087111
2026-02-25,ai_tools,AI 工具 / Agent,1,1,2.6093342281630525,-0.2484,-0.2484,1,0,,-0.0120645595597882,,,0.0,1.0,0.0,0.6481586222757023,0,0.6772415662657214,train,0.1772415662657214
2026-03-04,ai_tools,AI 工具 / Agent,1,1,2.6093342281630525,0.8619,0.8619,0,1,,-0.0030128296914716,,,0.0,0.0,1.0,-2.248985171253735,0,0.3115591070798535,train,-0.18844089292014649
2026-03-06,ai_tools,AI 工具 / Agent,1,1,2.6093342281630525,0.25,0.25,0,1,,-0.0150432309224466,,,0.0,0.0,1.0,-0.6523335570407631,0,0.48917608604665475,train,-0.010823913953345254
2026-03-15,ai_tools,AI 工具 / Agent,1,1,2.6093342281630525,-0.0894,-0.0894,0,0,,0.0112174066813253,,,0.0,0.0,0.0,0.23327447999777687,1,0.4872324030549468,train,-0.012767596945053195
2026-03-16,ai_tools,AI 工具 / Agent,1,1,2.6093342281630525,0.25,0.25,0,1,,0.0048802767196804,,,0.0,0.0,1.0,-0.6523335570407631,1,0.48917608604665475,train,-0.010823913953345254
2026-03-24,ai_tech,AI / 大模型,1,1,0.3920420877760237,0.0338,0.0338,0,0,-0.0077188196597194,-0.006836767910289,-0.0037386719371411,,0.0,0.0,0.0,-0.013251022566829598,0,0.5139215776815024,train,0.013921577681502373
2026-03-26,ai_tech,AI / 大模型,2,1,0.7840841755520473,-0.03,-0.06,1,1,-0.0080989738890444,-0.0238679002450772,-0.0100811392814149,0.31041987694089435,0.31041987694089435,0.5,0.5,0.01176126263328071,0,0.37153579795807073,train,-0.12846420204192927
2026-03-27,ai_tech,AI / 大模型,1,1,0.3920420877760237,-0.2245,-0.2245,1,0,0.0033890223127963,-0.007643335458682,0.0008118915392196,,0.0,1.0,0.0,0.08801344870571731,0,0.6629977737711338,train,0.16299777377113378
2026-03-28,crypto,加密,2,1,2.4357514189898546,-0.23504999999999998,-0.47009999999999996,2,0,-0.0006745178955535501,-0.0055002278852636,-0.0005663693703156999,0.0168998520703585,0.0168998520703585,1.0,0.0,0.28626168551678266,0,0.5541116209074051,train,0.05411162090740507
2026-03-29,crypto,加密,1,1,1.2178757094949273,-0.1894,-0.1894,1,0,-0.0007617738454828,0.0111670731548418,0.0013234146917822,,0.0,1.0,0.0,0.23066565937833924,1,0.4452365173058864,train,-0.054763482694113574
2026-03-31,ai_tech,AI / 大模型,2,1,0.7840841755520473,-0.2256,-0.4512,2,0,0.018753756135682,0.012353174006878,0.0140427679881522,0.032102647865869256,0.032102647865869256,1.0,0.0,0.08844469500227094,1,0.7237789929432318,train,0.22377899294323178
2026-03-31,crypto,加密,3,1,3.653627128484782,-0.0867,-0.2601,2,1,-0.006505060020800566,-0.0022680682914228,-0.0011175201437596,0.21969242135312725,0.21969242135312725,0.6666666666666666,0.3333333333333333,0.10558982401321021,0,0.39286846625800426,train,-0.10713153374199574
2026-04-01,ai_tech,AI / 大模型,1,1,0.3920420877760237,0.1428,0.1428,0,1,0.0115040361412213,0.0011466223630531,0.0103085850098993,,0.0,0.0,1.0,-0.05598361013441618,1,0.6152154329659391,train,0.11521543296593906
2026-04-03,ai_tech,AI / 大模型,1,1,0.3920420877760237,0.2496,0.2496,0,1,0.0060858818122107,0.0060173333255428,0.0057781809967356,,0.0,0.0,1.0,-0.0978537051088955,1,0.6129087068468616,train,0.1129087068468616
2026-04-04,ai_tech,AI / 大模型,1,1,0.3920420877760237,0.2366,0.2366,0,1,0.0060858818122107,0.0060173333255428,0.0057781809967356,,0.0,0.0,1.0,-0.0927571579678072,1,0.6131897612790839,train,0.11318976127908387
2026-04-04,crypto,加密,1,1,1.2178757094949273,-0.2462,-0.2462,1,0,-0.0002272577733124,0.0251355305690601,4.304831537593756e-05,,0.0,1.0,0.0,0.2998409996776511,1,0.45245066066976225,train,-0.04754933933023775
2026-04-05,ai_tech,AI / 大模型,1,1,0.3920420877760237,-0.0761,-0.0761,0,0,0.0060858818122107,0.0060173333255428,0.0057781809967356,,0.0,0.0,0.0,0.029834402879755403,1,0.5164232633481355,train,0.016423263348135486
2026-04-13,crypto,加密,1,1,1.2178757094949273,-0.218,-0.218,1,0,0.0053202645067027,-0.004068372317531,0.0009236783833563,,0.0,1.0,0.0,0.2654969046698942,0,0.448866300785733,train,-0.051133699214267025
2026-04-14,ai_tech,AI / 大模型,1,1,0.3920420877760237,-0.2449,-0.2449,1,0,0.00214477259124,0.0139994418865865,-0.0002088968685967,,0.0,1.0,0.0,0.0960111072963482,1,0.6634130521564711,train,0.16341305215647106
2026-04-14,crypto,加密,1,1,1.2178757094949273,-0.2365,-0.2365,1,0,-0.0102721073581135,0.0084046269048743,0.0006686287088533,,0.0,1.0,0.0,0.28802760529555027,1,0.45121716686878854,train,-0.048782833131211456
2026-04-15,ai_tech,AI / 大模型,1,1,0.3920420877760237,-0.25,-0.25,1,0,0.0050672951123804,0.0139994418865865,0.0007796660302648,,0.0,1.0,0.0,0.09801052194400592,1,0.6635168323560575,train,0.16351683235605752
2026-04-16,ai_tech,AI / 大模型,3,1,1.176126263328071,0.10223333333333333,0.3067,1,2,-0.00041579731001549996,0.007572288081765267,0.0012238345513584,0.2559393743317611,0.2559393743317611,0.3333333333333333,0.6666666666666666,-0.04007976944030215,1,0.5328116843271129,train,0.0328116843271129
2026-04-17,ai_tech,AI / 大模型,2,2,0.6995267875239843,0.32315,0.6463,0,2,0.009712577878417,-0.0031748441644519,0.0073156224216646,0.19254517651709688,0.19254517651709688,0.0,1.0,-0.22605208138837554,0,0.4421971098710852,train,-0.05780289012891482
2026-04-18,ai_tech,AI / 大模型,3,2,1.091568875300008,0.4412,1.3235999999999999,1,2,-0.0036607168728265,-0.0031748441644519,-0.0006011508228146,0.6322836072523152,0.6322836072523152,0.3333333333333333,0.6666666666666666,-0.321066791854909,0,0.1371484253214368,train,-0.3628515746785632
2026-04-19,ai_tech,AI / 大模型,5,3,2.199339101752883,0.15276,0.7638,2,2,-0.0036607168728265,-0.0031748441644519005,-0.0006011508228146,0.45436578106191056,0.45436578106191056,0.4,0.4,-0.20158262471026225,0,0.4062973803336861,train,-0.09370261966631388
2026-04-20,ai_tech,AI / 大模型,3,3,4.279812275781616,0.08453333333333334,0.2536,1,2,-0.0028298132125382665,-0.0035938400919745665,-0.0004291569030175986,0.2859906700109871,0.2859906700109871,0.3333333333333333,0.6666666666666666,-0.3617867977127393,0,0.44786567798087074,train,-0.052134322019129264
2026-04-20,crypto,加密,1,1,1.2178757094949273,-0.2445,-0.2445,1,0,0.0085693873563137,0.0063296958930805,0.0028534689058805,,0.0,1.0,0.0,0.2977706109715097,1,0.4522344386920283,train,-0.047765561307971716
2026-04-21,ai_tech,AI / 大模型,6,3,2.1526091378300363,0.11533333333333333,0.692,1,3,0.0037079538119486,0.0098858923957919,0.0006880456897819,0.25480636308119675,0.25480636308119675,0.16666666666666666,0.5,-0.12413379361486541,1,0.6713297927952536,train,0.17132979279525362
2026-04-22,ai_tech,AI / 大模型,3,2,1.1688545127223589,0.01933333333333333,0.057999999999999996,1,1,0.0131619483503229,0.001821738741140733,0.0070310549073862,0.24784314259896992,0.24784314259896992,0.3333333333333333,0.3333333333333333,-0.015065235941754846,1,0.4556855421558706,train,-0.04431445784412941
2026-04-22,ai_tools,AI 工具 / Agent,1,1,4.61512051684126,0.25,0.25,0,1,0.0059472285495556,-0.0056326456990668,0.0006472515038042,,0.0,0.0,1.0,-1.153780129210315,0,0.45804393863658466,train,-0.04195606136341534
2026-04-23,ai_tech,AI / 大模型,2,2,0.6995267875239843,0.9006000000000001,1.8012000000000001,0,2,-0.0023813847436897,0.00674741659624805,-0.0027325502469944,0.140289985387411,0.140289985387411,0.0,1.0,-0.6299938248441004,1,0.4912992606074792,train,-0.008700739392520807
2026-04-23,crypto,加密,1,1,1.2178757094949273,-0.0763,-0.0763,0,0,0.0010257758572294,-0.0103954453523936,-0.0004142672225446,,0.0,0.0,0.0,0.09292391663446296,0,0.29412259923688333,train,-0.20587740076311667
2026-04-24,ai_tech,AI / 大模型,1,1,0.3074846997479606,-0.2494,-0.2494,1,0,0.0103314990272846,0.0005271669328243,0.011314005704835,,0.0,1.0,0.0,0.07668668411714138,1,0.6598497052003625,train,0.15984970520036246
2026-04-24,ai_tools,AI 工具 / Agent,4,1,18.46048206736504,0.07565,0.3026,1,2,0.0103314990272846,0.0191274788915629,0.011314005704835,0.2070623819045845,0.2070623819045845,0.25,0.5,-0.34913386709904126,1,0.7578754293440721,train,0.25787542934407215
2026-04-24,crypto,加密,1,1,1.2178757094949273,-0.1782,-0.1782,1,0,-0.0006615804155315,0.0020231423764509,7.666856881094475e-05,,0.0,1.0,0.0,0.21702545143199603,1,0.4438166321879425,train,-0.056183367812057516
2026-04-25,ai_tech,AI / 大模型,3,3,4.364369663809679,0.24443333333333336,0.7333000000000001,0,3,-0.0026208225584166,0.0005271669328243,-0.0022141114949104,0.004895235779136012,0.004895235779136012,0.0,1.0,-1.0667974248238794,1,0.6804979418538989,train,0.1804979418538989
2026-04-25,ai_tools,AI 工具 / Agent,1,1,4.61512051684126,0.2494,0.2494,0,1,-0.0026208225584166,0.0005271669328243,-0.0022141114949104,,0.0,0.0,1.0,-1.15101105690021,1,0.45837916775021564,train,-0.041620832249784356
2026-04-27,ai_tech,AI / 大模型,3,3,4.526212689260093,0.2497,0.7491,0,3,-0.0015096473252881268,-0.0100567467175557,-0.0014196075447692,0.00043588989435406234,0.00043588989435406234,0.0,1.0,-1.130195308508245,0,0.6809708943929297,train,0.18097089439292968
2026-04-28,ai_tech,AI / 大模型,8,4,2.870905074279224,-0.020575000000000003,-0.16460000000000002,5,3,-0.007567962918103449,0.004092335837013588,-0.00805088664199256,0.22019390642924574,0.22019390642924574,0.625,0.375,0.029534435951647522,1,0.9032239292425434,train,0.40322392924254336
2026-04-29,ai_tech,AI / 大模型,5,5,1.6555381075930717,-0.31945999999999997,-1.5973,4,1,0.00359074864572528,0.00804121751270354,-0.00054603239526296,0.4604184162259368,0.4604184162259368,0.8,0.2,0.5288782038516826,1,0.4433677341733811,train,-0.0566322658266189
2026-04-29,ai_tools,AI 工具 / Agent,1,1,4.61512051684126,0.25,0.25,0,1,-0.0007867997170845,0.0093262736246331,7.535546586168174e-05,,0.0,0.0,1.0,-1.153780129210315,1,0.45804393863658466,train,-0.04195606136341534
2026-04-30,ai_tech,AI / 大模型,5,3,4.503915366590526,0.41508,2.0754,1,4,-0.0027543982891633603,0.009490267086148921,0.00063783931769656,0.4573703007410953,0.4573703007410953,0.2,0.8,-1.1216911142186372,1,0.3847720888154378,train,-0.11522791118456222
2026-04-30,ai_tools,AI 工具 / Agent,2,1,9.23024103368252,0.2498,0.4996,0,2,0.00027092081868130007,0.00946293484256295,0.00097715399334825,0.0002828427124746271,0.0002828427124746271,0.0,1.0,-1.1528571051069467,1,0.6282839968825108,train,0.1282839968825108
2026-05-01,ai_tech,AI / 大模型,6,4,3.320011526956064,0.2127,1.2762,1,3,0.007561829181404984,-0.0018838826451929,0.003979064277992783,0.4222271947660406,0.4222271947660406,0.16666666666666666,0.5,-0.4707776345223699,0,0.4407833820402436,test,-0.05921661795975641
2026-05-01,ai_tools,AI 工具 / Agent,1,1,4.61512051684126,0.1439,0.1439,0,1,0.0109276672560474,0.0095995960604928,0.0060517668304735,,0.0,0.0,1.0,-0.6641158423734572,1,0.5176343999463823,test,0.017634399946382273
2026-05-01,crypto,加密,4,2,6.687447247977838,0.059475,0.2379,2,2,0.002108589161529825,0.0061173716726998,0.0005139350676799,0.22011005391243113,0.22011005391243113,0.5,0.5,-0.19886796253674097,1,0.47570896323658735,test,-0.024291036763412654
2026-05-02,ai_tech,AI / 大模型,1,1,3.441699324971485,0.25,0.25,0,1,0.0012905781817413,-0.0018838826451929,-0.0002521403182146,,0.0,0.0,1.0,-0.8604248312428713,0,0.5669924560903593,test,0.06699245609035931
2026-05-02,ai_tools,AI 工具 / Agent,1,1,4.61512051684126,0.25,0.25,0,1,0.0012905781817413,-0.0018838826451929,-0.0002521403182146,,0.0,0.0,1.0,-1.153780129210315,0,0.45804393863658466,test,-0.04195606136341534
2026-05-03,ai_tech,AI / 大模型,5,4,3.8175163067463944,-0.014960000000000018,-0.07480000000000009,4,1,0.0012905781817413,-0.0018838826451928997,-0.0002521403182146,0.582217659471095,0.582217659471095,0.8,0.2,0.045688035159140904,0,0.35307246302079043,test,-0.14692753697920957
2026-05-03,crypto,加密,2,1,2.4357514189898546,-0.23525000000000001,-0.47050000000000003,2,0,0.0009684154217098,0.0164210441710659,-3.4209065727049993e-05,0.02043538597629124,0.02043538597629124,1.0,0.0,0.28650526065868165,1,0.5498429333286907,test,0.04984293332869072
2026-05-04,ai_tech,AI / 大模型,3,3,3.154201614525266,0.0862,0.2586,1,2,0.0012905781817413,0.0129740524393653,-0.0002521403182146,0.26741720213927894,0.26741720213927894,0.3333333333333333,0.6666666666666666,-0.2718921791720779,1,0.46371732629329177,test,-0.036282673706708235
2026-05-05,ai_tech,AI / 大模型,4,3,1.5951224940332238,-0.003275,-0.0131,2,2,0.009129361445836825,0.0207743936914068,0.006398583036845076,0.28465904019838656,0.28465904019838656,0.5,0.5,0.003918019625969106,1,0.5588739185458037,test,0.058873918545803705
2026-05-05,crypto,加密,2,2,3.834225774782995,0.3739,0.7478,0,2,-0.0005119696307301499,0.0061842923164892,0.0006846943126249211,0.17833233021524728,0.17833233021524728,0.0,1.0,-1.4336170171913618,1,0.16951152590059254,test,-0.33048847409940746
2026-05-06,ai_tech,AI / 大模型,7,5,7.893018620361037,0.08054285714285714,0.5638,1,3,0.009006610545035685,0.0050834357134891565,0.009227029744471971,0.13652225529369266,0.13652225529369266,0.14285714285714285,0.42857142857142855,-0.45409019368975023,1,0.81324711713045,test,0.31324711713044995
