event_date,industry,industry_label,etf,n_posts,n_kol,signal_raw,signal_lag1,fwd_ret,position_lag1,position_contemp,pnl_lag1,pnl_contemp,pnl_net,equity,strategy_mode,signal_name
2026-04-18,ai_tech,AI / 大模型,QQQ,2,1,0.12811935428520455,,-0.0031748441644519,0.0,1.0,-0.0,-0.0031748441644519,-0.0,1.0,lag1,sig_baseline
2026-04-19,ai_tech,AI / 大模型,QQQ,2,1,0.34495783303412325,0.12811935428520455,-0.0031748441644519,1.0,1.0,-0.0031748441644519,-0.0031748441644519,-0.0036748441644519,0.9963251558355481,lag1,sig_baseline
2026-04-20,ai_tech,AI / 大模型,QQQ,1,1,-0.06414806266230157,0.34495783303412325,-0.0038033380557359,1.0,-1.0,-0.0038033380557359,0.0038033380557359,-0.0038033380557359,0.9925357944544718,lag1,sig_baseline
2026-04-21,ai_tech,AI / 大模型,QQQ,1,1,-0.09522702312079616,-0.06414806266230157,0.0167305076215558,-1.0,-1.0,-0.0167305076215558,-0.0167305076215558,-0.0177305076215558,0.9749376309862299,lag1,sig_baseline
2026-04-22,ai_tech,AI / 大模型,QQQ,1,1,0.17203365968410025,-0.09522702312079616,-0.0056326456990668,-1.0,1.0,0.0056326456990668,-0.0056326456990668,0.0056326456990668,0.9804291092402628,lag1,sig_baseline
2026-04-23,ai_tech,AI / 大模型,QQQ,2,2,0.2941641357648358,0.17203365968410025,0.0191274788915629,1.0,1.0,0.0191274788915629,0.0191274788915629,0.0181274788915629,0.9982018172226894,lag1,sig_baseline
2026-04-24,ai_tech,AI / 大模型,QQQ,5,2,0.16147622975352802,0.2941641357648358,0.0005271669328243,1.0,1.0,0.0005271669328243,0.0005271669328243,0.0005271669328243,0.9987280362130144,lag1,sig_baseline
2026-04-25,ai_tech,AI / 大模型,QQQ,2,2,0.26602451363732493,0.16147622975352802,0.0005271669328243,1.0,1.0,0.0005271669328243,0.0005271669328243,0.0005271669328243,0.9992545326085905,lag1,sig_baseline
2026-04-27,ai_tech,AI / 大模型,QQQ,3,1,0.06564353896976625,0.26602451363732493,-0.0100567467175557,1.0,1.0,-0.0100567467175557,-0.0100567467175557,-0.0100567467175557,0.9892052828677764,lag1,sig_baseline
2026-04-28,ai_tech,AI / 大模型,QQQ,4,2,0.21307729953821286,0.06564353896976625,0.0061136333448092,1.0,1.0,0.0061136333448092,0.0061136333448092,0.0061136333448092,0.9952529212699783,lag1,sig_baseline
2026-04-29,ai_tech,AI / 大模型,QQQ,4,4,-0.08468391837186792,0.21307729953821286,0.0093262736246331,1.0,-1.0,0.0093262736246331,-0.0093262736246331,0.0093262736246331,1.0045349223394575,lag1,sig_baseline
2026-04-30,ai_tech,AI / 大模型,QQQ,2,1,0.3437920655127059,-0.08468391837186792,0.0095995960604928,-1.0,1.0,-0.0095995960604928,0.0095995960604928,-0.010599596060492801,0.9938872579340008,lag1,sig_baseline
2026-05-01,ai_tech,AI / 大模型,QQQ,5,3,0.2956383543061059,0.3437920655127059,-0.0018838826451928997,1.0,1.0,-0.0018838826451928997,-0.0018838826451928997,-0.0028838826451929,0.9910210037195666,lag1,sig_baseline
2026-05-02,ai_tech,AI / 大模型,QQQ,2,2,0.22610693459085016,0.2956383543061059,-0.0018838826451929,1.0,1.0,-0.0018838826451929,-0.0018838826451929,-0.0018838826451929,0.9891540364496376,lag1,sig_baseline
2026-05-03,ai_tech,AI / 大模型,QQQ,6,3,-0.1680138208574749,0.22610693459085016,-0.0018838826451929,1.0,-1.0,-0.0018838826451929,0.0018838826451929,-0.0018838826451929,0.9872905863269477,lag1,sig_baseline
2026-05-04,ai_tech,AI / 大模型,QQQ,4,2,0.10632972114983376,-0.1680138208574749,0.0129740524393653,-1.0,1.0,-0.0129740524393653,0.0129740524393653,-0.013974052439365298,0.9734941359007231,lag1,sig_baseline
2026-05-05,ai_tech,AI / 大模型,QQQ,5,4,0.25270198005878053,0.10632972114983376,0.0207743936914068,1.0,1.0,0.0207743936914068,0.0207743936914068,0.019774393691406798,0.9927443922002999,lag1,sig_baseline
2026-05-06,ai_tech,AI / 大模型,QQQ,4,2,0.08256458059513777,0.25270198005878053,-0.0011929474776779,1.0,1.0,-0.0011929474776779,-0.0011929474776779,-0.0011929474776779,0.9915601002816455,lag1,sig_baseline
2026-05-07,ai_tech,AI / 大模型,QQQ,7,4,0.3762828611181667,0.08256458059513777,0.0234408408929045,1.0,1.0,0.0234408408929045,0.0234408408929045,0.0234408408929045,1.0148031028281002,lag1,sig_baseline
2026-05-08,ai_tech,AI / 大模型,QQQ,9,4,0.4773845789220086,0.3762828611181667,0.0028963874065546,1.0,1.0,0.0028963874065546,0.0028963874065546,0.0028963874065546,1.017742365755264,lag1,sig_baseline
2026-05-09,ai_tech,AI / 大模型,QQQ,9,6,0.34957398834715775,0.4773845789220086,0.0028963874065546,1.0,1.0,0.0028963874065546,0.0028963874065546,0.0028963874065546,1.0206901419265546,lag1,sig_baseline
2026-05-10,ai_tech,AI / 大模型,QQQ,3,2,0.06741515554599407,0.34957398834715775,0.0028963874065546006,1.0,1.0,0.0028963874065546006,0.0028963874065546006,0.0028963874065546006,1.0236464559996252,lag1,sig_baseline
2026-05-11,ai_tech,AI / 大模型,QQQ,7,3,0.43034514495093606,0.06741515554599407,-0.008481806809764,1.0,1.0,-0.008481806809764,-0.008481806809764,-0.008481806809764,1.014964084518337,lag1,sig_baseline
2026-05-12,ai_tech,AI / 大模型,QQQ,17,9,1.0648447187787506,0.43034514495093606,0.0105622304188508,1.0,1.0,0.0105622304188508,0.0105622304188508,0.0105622304188508,1.0256843690458777,lag1,sig_baseline
2026-05-13,ai_tech,AI / 大模型,QQQ,27,13,2.267788917060971,1.0648447187787506,0.0071077162744499,1.0,1.0,0.0071077162744499,0.0071077162744499,0.0071077162744499,1.032974642528194,lag1,sig_baseline
2026-05-14,ai_tech,AI / 大模型,QQQ,30,11,-0.24162870897486566,2.267788917060971,-0.015087714031981,1.0,-1.0,-0.015087714031981,0.015087714031981,-0.015087714031981,1.0173894165194408,lag1,sig_baseline
