event_date,industry,industry_label,etf,n_posts,n_kol,signal_raw,signal_lag1,fwd_ret,position_lag1,position_contemp,pnl_lag1,pnl_contemp,pnl_gross,pnl_net,equity_industry,strategy_mode,signal_name
2026-03-24,ai_tech,AI / 大模型,QQQ,1,1,-0.013251022566829598,,-0.006836767910289,0.0,-1.0,-0.0,0.006836767910289,-0.0,-0.0,1.0,lag1,sig_kol_breadth_contrarian
2026-03-26,ai_tech,AI / 大模型,QQQ,2,1,0.01176126263328071,-0.013251022566829598,-0.0238679002450772,-1.0,1.0,0.0238679002450772,-0.0238679002450772,0.0238679002450772,0.0233679002450772,1.0233679002450773,lag1,sig_kol_breadth_contrarian
2026-03-27,ai_tech,AI / 大模型,QQQ,1,1,0.08801344870571731,0.01176126263328071,-0.007643335458682,1.0,1.0,-0.007643335458682,-0.007643335458682,-0.007643335458682,-0.008643335458682,1.0145225881856121,lag1,sig_kol_breadth_contrarian
2026-03-31,ai_tech,AI / 大模型,QQQ,2,1,0.08844469500227094,0.08801344870571731,0.012353174006878,1.0,1.0,0.012353174006878,0.012353174006878,0.012353174006878,0.012353174006878,1.0270551622513773,lag1,sig_kol_breadth_contrarian
2026-04-01,ai_tech,AI / 大模型,QQQ,1,1,-0.05598361013441618,0.08844469500227094,0.0011466223630531,1.0,-1.0,0.0011466223630531,-0.0011466223630531,0.0011466223630531,0.0011466223630531,1.028232806668504,lag1,sig_kol_breadth_contrarian
2026-04-03,ai_tech,AI / 大模型,QQQ,1,1,-0.0978537051088955,-0.05598361013441618,0.0060173333255428,-1.0,-1.0,-0.0060173333255428,-0.0060173333255428,-0.0060173333255428,-0.0070173333255428,1.0210173543278527,lag1,sig_kol_breadth_contrarian
2026-04-04,ai_tech,AI / 大模型,QQQ,1,1,-0.0927571579678072,-0.0978537051088955,0.0060173333255428,-1.0,-1.0,-0.0060173333255428,-0.0060173333255428,-0.0060173333255428,-0.0060173333255428,1.0148735525756982,lag1,sig_kol_breadth_contrarian
2026-04-05,ai_tech,AI / 大模型,QQQ,1,1,0.029834402879755403,-0.0927571579678072,0.0060173333255428,-1.0,1.0,-0.0060173333255428,0.0060173333255428,-0.0060173333255428,-0.0060173333255428,1.0087667201265724,lag1,sig_kol_breadth_contrarian
2026-04-14,ai_tech,AI / 大模型,QQQ,1,1,0.0960111072963482,0.029834402879755403,0.0139994418865865,1.0,1.0,0.0139994418865865,0.0139994418865865,0.0139994418865865,0.012999441886586499,1.0218801244819802,lag1,sig_kol_breadth_contrarian
2026-04-15,ai_tech,AI / 大模型,QQQ,1,1,0.09801052194400592,0.0960111072963482,0.0139994418865865,1.0,1.0,0.0139994418865865,0.0139994418865865,0.0139994418865865,0.0139994418865865,1.0361858758997236,lag1,sig_kol_breadth_contrarian
2026-04-16,ai_tech,AI / 大模型,QQQ,3,1,-0.04007976944030215,0.09801052194400592,0.007572288081765267,1.0,-1.0,0.007572288081765267,-0.007572288081765267,0.007572288081765267,0.007572288081765267,1.0440321738582925,lag1,sig_kol_breadth_contrarian
2026-04-17,ai_tech,AI / 大模型,QQQ,2,2,-0.22605208138837554,-0.04007976944030215,-0.0031748441644519,-1.0,-1.0,0.0031748441644519,0.0031748441644519,0.0031748441644519,0.0021748441644519,1.0463027811391081,lag1,sig_kol_breadth_contrarian
2026-04-18,ai_tech,AI / 大模型,QQQ,3,2,-0.321066791854909,-0.22605208138837554,-0.0031748441644519,-1.0,-1.0,0.0031748441644519,0.0031748441644519,0.0031748441644519,0.0031748441644519,1.0496246294180573,lag1,sig_kol_breadth_contrarian
2026-04-19,ai_tech,AI / 大模型,QQQ,5,3,-0.20158262471026225,-0.321066791854909,-0.0031748441644519005,-1.0,-1.0,0.0031748441644519005,0.0031748441644519005,0.0031748441644519005,0.0031748441644519005,1.0529570240476303,lag1,sig_kol_breadth_contrarian
2026-04-20,ai_tech,AI / 大模型,QQQ,3,3,-0.3617867977127393,-0.20158262471026225,-0.0035938400919745665,-1.0,-1.0,0.0035938400919745665,0.0035938400919745665,0.0035938400919745665,0.0035938400919745665,1.056741183215779,lag1,sig_kol_breadth_contrarian
2026-04-21,ai_tech,AI / 大模型,QQQ,6,3,-0.12413379361486541,-0.3617867977127393,0.0098858923957919,-1.0,-1.0,-0.0098858923957919,-0.0098858923957919,-0.0098858923957919,-0.0098858923957919,1.046294353588306,lag1,sig_kol_breadth_contrarian
2026-04-22,ai_tech,AI / 大模型,QQQ,3,2,-0.015065235941754846,-0.12413379361486541,0.001821738741140733,-1.0,-1.0,-0.001821738741140733,-0.001821738741140733,-0.001821738741140733,-0.001821738741140733,1.0443882786297374,lag1,sig_kol_breadth_contrarian
2026-04-23,ai_tech,AI / 大模型,QQQ,2,2,-0.6299938248441004,-0.015065235941754846,0.00674741659624805,-1.0,-1.0,-0.00674741659624805,-0.00674741659624805,-0.00674741659624805,-0.00674741659624805,1.0373413558255842,lag1,sig_kol_breadth_contrarian
2026-04-24,ai_tech,AI / 大模型,QQQ,1,1,0.07668668411714138,-0.6299938248441004,0.0005271669328243,-1.0,1.0,-0.0005271669328243,0.0005271669328243,-0.0005271669328243,-0.0005271669328243,1.036794503764742,lag1,sig_kol_breadth_contrarian
2026-04-25,ai_tech,AI / 大模型,QQQ,3,3,-1.0667974248238794,0.07668668411714138,0.0005271669328243,1.0,-1.0,0.0005271669328243,-0.0005271669328243,0.0005271669328243,-0.0004728330671757,1.036304273039496,lag1,sig_kol_breadth_contrarian
2026-04-27,ai_tech,AI / 大模型,QQQ,3,3,-1.130195308508245,-1.0667974248238794,-0.0100567467175557,-1.0,-1.0,0.0100567467175557,0.0100567467175557,0.0100567467175557,0.0090567467175557,1.0456898183627354,lag1,sig_kol_breadth_contrarian
2026-04-28,ai_tech,AI / 大模型,QQQ,8,4,0.029534435951647522,-1.130195308508245,0.004092335837013588,-1.0,1.0,-0.004092335837013588,0.004092335837013588,-0.004092335837013588,-0.004092335837013588,1.0414105044446493,lag1,sig_kol_breadth_contrarian
2026-04-29,ai_tech,AI / 大模型,QQQ,5,5,0.5288782038516826,0.029534435951647522,0.00804121751270354,1.0,1.0,0.00804121751270354,0.00804121751270354,0.00804121751270354,0.007041217512703539,1.0487433023264583,lag1,sig_kol_breadth_contrarian
2026-04-30,ai_tech,AI / 大模型,QQQ,5,3,-1.1216911142186372,0.5288782038516826,0.009490267086148921,1.0,-1.0,0.009490267086148921,-0.009490267086148921,0.009490267086148921,0.009490267086148921,1.0586961563703463,lag1,sig_kol_breadth_contrarian
2026-05-01,ai_tech,AI / 大模型,QQQ,6,4,-0.4707776345223699,-1.1216911142186372,-0.0018838826451929,-1.0,-1.0,0.0018838826451929,0.0018838826451929,0.0018838826451929,0.0008838826451928999,1.0596319195294945,lag1,sig_kol_breadth_contrarian
2026-05-02,ai_tech,AI / 大模型,QQQ,1,1,-0.8604248312428713,-0.4707776345223699,-0.0018838826451929,-1.0,-1.0,0.0018838826451929,0.0018838826451929,0.0018838826451929,0.0018838826451929,1.0616281417129885,lag1,sig_kol_breadth_contrarian
2026-05-03,ai_tech,AI / 大模型,QQQ,5,4,0.045688035159140904,-0.8604248312428713,-0.0018838826451928997,-1.0,1.0,0.0018838826451928997,-0.0018838826451928997,0.0018838826451928997,0.0018838826451928997,1.0636281245448098,lag1,sig_kol_breadth_contrarian
2026-05-04,ai_tech,AI / 大模型,QQQ,3,3,-0.2718921791720779,0.045688035159140904,0.0129740524393653,1.0,-1.0,0.0129740524393653,-0.0129740524393653,0.0129740524393653,0.0119740524393653,1.076364063484093,lag1,sig_kol_breadth_contrarian
2026-05-05,ai_tech,AI / 大模型,QQQ,4,3,0.003918019625969106,-0.2718921791720779,0.0207743936914068,-1.0,1.0,-0.0207743936914068,0.0207743936914068,-0.0207743936914068,-0.0217743936914068,1.0529268886105079,lag1,sig_kol_breadth_contrarian
2026-05-06,ai_tech,AI / 大模型,QQQ,7,5,-0.45409019368975023,0.003918019625969106,0.0050834357134891565,1.0,-1.0,0.0050834357134891565,-0.0050834357134891565,0.0050834357134891565,0.0040834357134891565,1.057226447871153,lag1,sig_kol_breadth_contrarian
2026-05-07,ai_tech,AI / 大模型,QQQ,11,6,-0.8582306838234324,-0.45409019368975023,0.012243664360821593,-1.0,-1.0,-0.012243664360821593,-0.012243664360821593,-0.012243664360821593,-0.013243664360821594,1.043224895642164,lag1,sig_kol_breadth_contrarian
2026-05-08,ai_tech,AI / 大模型,QQQ,10,6,-1.9041321802385163,-0.8582306838234324,0.00905972345245957,-1.0,-1.0,-0.00905972345245957,-0.00905972345245957,-0.00905972345245957,-0.00905972345245957,1.033773566588925,lag1,sig_kol_breadth_contrarian
2026-05-09,ai_tech,AI / 大模型,QQQ,11,7,-1.2363047922269723,-1.9041321802385163,0.0028963874065546,-1.0,-1.0,-0.0028963874065546,-0.0028963874065546,-0.0028963874065546,-0.0028963874065546,1.0307793578494278,lag1,sig_kol_breadth_contrarian
2026-05-10,ai_tech,AI / 大模型,QQQ,11,6,-0.924513871919915,-1.2363047922269723,0.0028963874065546,-1.0,-1.0,-0.0028963874065546,-0.0028963874065546,-0.0028963874065546,-0.0028963874065546,1.0277938214984161,lag1,sig_kol_breadth_contrarian
2026-05-11,ai_tech,AI / 大模型,QQQ,18,11,1.7450634994837597,-0.924513871919915,-0.007217563007950823,-1.0,1.0,0.007217563007950823,-0.007217563007950823,0.007217563007950823,0.007217563007950823,1.0352119881642634,lag1,sig_kol_breadth_contrarian
2026-05-12,ai_tech,AI / 大模型,QQQ,29,12,-0.44713698884715264,1.7450634994837597,0.005965393846426538,1.0,-1.0,0.005965393846426538,-0.005965393846426538,0.005965393846426538,0.004965393846426538,1.040352223400041,lag1,sig_kol_breadth_contrarian
2026-05-13,ai_tech,AI / 大模型,QQQ,54,22,-3.4889763007892935,-0.44713698884715264,0.008131276020939056,-1.0,-1.0,-0.008131276020939056,-0.008131276020939056,-0.008131276020939056,-0.009131276020939057,1.0308524800891776,lag1,sig_kol_breadth_contrarian
2026-05-14,ai_tech,AI / 大模型,QQQ,63,21,-1.8800255865417022,-3.4889763007892935,-0.011212321438794652,-1.0,-1.0,0.011212321438794652,0.011212321438794652,0.011212321438794652,0.011212321438794652,1.0424107294519163,lag1,sig_kol_breadth_contrarian
