event_date,industry,industry_label,etf,n_posts,n_kol,signal_raw,signal_lag1,fwd_ret,position_lag1,position_contemp,pnl_lag1,pnl_contemp,pnl_gross,pnl_net,equity_industry,strategy_mode,signal_name
2026-03-28,crypto,加密,BTC-USD,2,1,0.5725233710335653,,-0.0055002278852636,0.0,1.0,-0.0,-0.0055002278852636,-0.0,-0.0,1.0,lag1,sig_bear_crowd_strict
2026-03-29,crypto,加密,BTC-USD,1,1,0.23066565937833924,0.5725233710335653,0.0111670731548418,1.0,1.0,0.0111670731548418,0.0111670731548418,0.0111670731548418,0.0106670731548418,1.0106670731548417,lag1,sig_bear_crowd_strict
2026-03-31,crypto,加密,BTC-USD,3,1,0.2111796480264204,0.23066565937833924,-0.0022680682914228,1.0,1.0,-0.0022680682914228,-0.0022680682914228,-0.0022680682914228,-0.0022680682914228,1.0083748112130342,lag1,sig_bear_crowd_strict
2026-04-04,crypto,加密,BTC-USD,1,1,0.2998409996776511,0.2111796480264204,0.0251355305690601,1.0,1.0,0.0251355305690601,0.0251355305690601,0.0251355305690601,0.0251355305690601,1.0337208471053496,lag1,sig_bear_crowd_strict
2026-04-13,crypto,加密,BTC-USD,1,1,0.2654969046698942,0.2998409996776511,-0.004068372317531,1.0,1.0,-0.004068372317531,-0.004068372317531,-0.004068372317531,-0.004068372317531,1.0295152858269316,lag1,sig_bear_crowd_strict
2026-04-14,crypto,加密,BTC-USD,1,1,0.28802760529555027,0.2654969046698942,0.0084046269048743,1.0,1.0,0.0084046269048743,0.0084046269048743,0.0084046269048743,0.0084046269048743,1.038167977697172,lag1,sig_bear_crowd_strict
2026-04-20,crypto,加密,BTC-USD,1,1,0.2977706109715097,0.28802760529555027,0.0063296958930805,1.0,1.0,0.0063296958930805,0.0063296958930805,0.0063296958930805,0.0063296958930805,1.0447392652819294,lag1,sig_bear_crowd_strict
2026-04-23,crypto,加密,BTC-USD,1,1,0.0,0.2977706109715097,-0.0103954453523936,1.0,0.0,-0.0103954453523936,-0.0,-0.0103954453523936,-0.0103954453523936,1.0338787353421912,lag1,sig_bear_crowd_strict
2026-04-24,crypto,加密,BTC-USD,1,1,0.21702545143199603,0.0,0.0020231423764509,0.0,1.0,0.0,0.0020231423764509,0.0,-0.0005,1.0333617959745203,lag1,sig_bear_crowd_strict
2026-05-01,crypto,加密,BTC-USD,4,2,0.0,0.21702545143199603,0.0061173716726998,1.0,0.0,0.0061173716726998,0.0,0.0061173716726998,0.0056173716726998,1.0391665732548776,lag1,sig_bear_crowd_strict
2026-05-03,crypto,加密,BTC-USD,2,1,0.5730105213173633,0.0,0.0164210441710659,0.0,1.0,0.0,0.0164210441710659,0.0,-0.0005,1.0386469899682502,lag1,sig_bear_crowd_strict
2026-05-05,crypto,加密,BTC-USD,2,2,0.0,0.5730105213173633,0.0061842923164892,1.0,0.0,0.0061842923164892,0.0,0.0061842923164892,0.0056842923164892,1.0445509630728715,lag1,sig_bear_crowd_strict
2026-05-06,crypto,加密,BTC-USD,2,2,0.0,0.0,-0.0174085968313082,0.0,0.0,-0.0,-0.0,-0.0,-0.0005,1.0440286875913352,lag1,sig_bear_crowd_strict
2026-05-07,crypto,加密,BTC-USD,3,1,0.0,0.0,0.0022093920105095,0.0,0.0,0.0,0.0,0.0,0.0,1.0440286875913352,lag1,sig_bear_crowd_strict
2026-05-08,crypto,加密,BTC-USD,9,4,0.0,0.0,0.0059561145630133,0.0,0.0,0.0,0.0,0.0,0.0,1.0440286875913352,lag1,sig_bear_crowd_strict
2026-05-09,crypto,加密,BTC-USD,3,3,0.0,0.0,0.0182802215081221,0.0,0.0,0.0,0.0,0.0,0.0,1.0440286875913352,lag1,sig_bear_crowd_strict
2026-05-10,crypto,加密,BTC-USD,1,1,0.0,0.0,-0.0049992471786796,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0440286875913352,lag1,sig_bear_crowd_strict
2026-05-11,crypto,加密,BTC-USD,5,3,0.0,0.0,-0.015304426194186403,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0440286875913352,lag1,sig_bear_crowd_strict
2026-05-12,crypto,加密,BTC-USD,4,2,1.2242649322924133,0.0,-0.0149156611043906,0.0,1.0,-0.0,-0.0149156611043906,-0.0,-0.0,1.0440286875913352,lag1,sig_bear_crowd_strict
2026-05-13,crypto,加密,BTC-USD,7,5,0.0,1.2242649322924133,0.0223788764707975,1.0,0.0,0.0223788764707975,0.0,0.0223788764707975,0.0218788764707975,1.066870862279115,lag1,sig_bear_crowd_strict
2026-05-14,crypto,加密,BTC-USD,23,7,0.0,0.0,-0.0244977136379759,0.0,0.0,-0.0,-0.0,-0.0,-0.0005,1.0663374268479755,lag1,sig_bear_crowd_strict
2026-05-15,crypto,加密,BTC-USD,36,6,0.0,0.0,-0.0118160267665125,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0663374268479755,lag1,sig_bear_crowd_strict
2026-05-16,crypto,加密,BTC-USD,39,9,0.0,0.0,0.0030410494175279,0.0,0.0,0.0,0.0,0.0,0.0,1.0663374268479755,lag1,sig_bear_crowd_strict
